method,pulse,seed,precision,artifact_recall,retain_recall,high_signal_retain_recall,true_positive,false_positive,false_negative
qc-v2-current-default,lp,0,1.0,0.08745445080687142,1.0,1.0,840,0,8765
qc-v3-candidate-1,lp,0,1.0,0.9109838625715773,1.0,1.0,8750,0,855
qc-v2-current-default,lp,1,1.0,0.0803580722389924,1.0,1.0,772,0,8835
qc-v3-candidate-1,lp,1,1.0,0.9081919433746227,1.0,1.0,8725,0,882
qc-v2-current-default,lp,2,1.0,0.08186773629538209,1.0,1.0,796,0,8927
qc-v3-candidate-1,lp,2,1.0,0.9111385374884295,1.0,1.0,8859,0,864
qc-v2-current-default,lp,3,1.0,0.08064019698368728,1.0,1.0,786,0,8961
qc-v3-candidate-1,lp,3,1.0,0.9109469580383708,1.0,1.0,8879,0,868
qc-v2-current-default,lp,4,1.0,0.07950132842836706,1.0,1.0,778,0,9008
qc-v3-candidate-1,lp,4,1.0,0.9108931126098508,1.0,1.0,8914,0,872
qc-v2-current-default,lp,5,1.0,0.08166802610114192,1.0,1.0,801,0,9007
qc-v3-candidate-1,lp,5,1.0,0.911194942903752,1.0,1.0,8937,0,871
qc-v2-current-default,lp,6,1.0,0.08049408131755018,1.0,1.0,782,0,8933
qc-v3-candidate-1,lp,6,1.0,0.9082861554297478,1.0,1.0,8824,0,891
qc-v2-current-default,lp,7,1.0,0.082702923737477,1.0,1.0,809,0,8973
qc-v3-candidate-1,lp,7,1.0,0.9127990186056021,1.0,1.0,8929,0,853
qc-v2-current-default,lp,8,1.0,0.08417059667828583,1.0,1.0,821,0,8933
qc-v3-candidate-1,lp,8,1.0,0.9137789624769326,1.0,1.0,8913,0,841
qc-v2-current-default,lp,9,1.0,0.08330771595450354,1.0,1.0,813,0,8946
qc-v3-candidate-1,lp,9,1.0,0.9150527718003894,1.0,1.0,8930,0,829
qc-v2-current-default,lp,10,1.0,0.08203605079885293,1.0,1.0,801,0,8963
qc-v3-candidate-1,lp,10,1.0,0.9084391642769357,1.0,1.0,8870,0,894
qc-v2-current-default,lp,11,1.0,0.08197056418642681,1.0,1.0,802,0,8982
qc-v3-candidate-1,lp,11,1.0,0.9084219133278822,1.0,1.0,8888,0,896
qc-v2-current-default,sp,0,1.0,0.04799671817311637,1.0,1.0,702,0,13924
qc-v3-candidate-1,sp,0,1.0,0.9370983180637221,1.0,1.0,13706,0,920
qc-v2-current-default,sp,1,1.0,0.04688669615515481,1.0,1.0,689,0,14006
qc-v3-candidate-1,sp,1,1.0,0.9368492684586595,1.0,1.0,13767,0,928
qc-v2-current-default,sp,2,1.0,0.048912309147412514,1.0,1.0,724,0,14078
qc-v3-candidate-1,sp,2,1.0,0.9387920551276855,1.0,1.0,13896,0,906
qc-v2-current-default,sp,3,1.0,0.047854673625703247,1.0,1.0,706,0,14047
qc-v3-candidate-1,sp,3,1.0,0.9387243272554735,1.0,1.0,13849,0,904
qc-v2-current-default,sp,4,1.0,0.04730465559488157,1.0,1.0,695,0,13997
qc-v3-candidate-1,sp,4,1.0,0.9367002450313096,1.0,1.0,13762,0,930
qc-v2-current-default,sp,5,1.0,0.044079750440797504,1.0,1.0,650,0,14096
qc-v3-candidate-1,sp,5,1.0,0.9373389393733894,1.0,1.0,13822,0,924
qc-v2-current-default,sp,6,1.0,0.047363413971187825,1.0,1.0,697,0,14019
qc-v3-candidate-1,sp,6,1.0,0.9367355259581408,1.0,1.0,13785,0,931
qc-v2-current-default,sp,7,1.0,0.047963739683398725,1.0,1.0,709,0,14073
qc-v3-candidate-1,sp,7,1.0,0.9375591936138546,1.0,1.0,13859,0,923
qc-v2-current-default,sp,8,1.0,0.04676623639927012,1.0,1.0,692,0,14105
qc-v3-candidate-1,sp,8,1.0,0.9376224910454822,1.0,1.0,13874,0,923
qc-v2-current-default,sp,9,1.0,0.04764150943396227,1.0,1.0,707,0,14133
qc-v3-candidate-1,sp,9,1.0,0.9394878706199461,1.0,1.0,13942,0,898
qc-v2-current-default,sp,10,1.0,0.0501993108573745,1.0,1.0,743,0,14058
qc-v3-candidate-1,sp,10,1.0,0.9356800216201608,1.0,1.0,13849,0,952
qc-v2-current-default,sp,11,1.0,0.04734925131525698,1.0,1.0,702,0,14124
qc-v3-candidate-1,sp,11,1.0,0.9363280723054094,1.0,1.0,13882,0,944
