case_id,radar,date,pulse,time,dataset,elevation_deg,finite_gate_count,safe_removed_gate_count,safe_removed_fraction,safe_maximum_removed_dbzh,shadow_proposed_gate_count,shadow_proposed_fraction,shadow_abstained_gate_count,shadow_abstained_fraction,artifact_npz,artifact_sidecar,plot
high-moorsley-20260711-lp-1400-e0400,high-moorsley,20260711,lp,1400,dataset1,0.5,153000,250,0.0016339869281045752,2.799999237060547,250,0.0016339869281045752,9266,0.060562091503267974,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset1-e00.npz,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset1-e00.json,plots/high-moorsley-20260711-lp-1400-e0400-dataset1-e00.500.png
high-moorsley-20260711-lp-1400-e0400,high-moorsley,20260711,lp,1400,dataset2,1.0,153000,324,0.0021176470588235292,2.1000022888183594,324,0.0021176470588235292,9515,0.06218954248366013,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset2-e01.npz,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset2-e01.json,plots/high-moorsley-20260711-lp-1400-e0400-dataset2-e01.000.png
high-moorsley-20260711-lp-1400-e0400,high-moorsley,20260711,lp,1400,dataset3,2.0,153000,23,0.0001503267973856209,3.1000022888183594,23,0.0001503267973856209,2472,0.01615686274509804,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset3-e02.npz,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset3-e02.json,plots/high-moorsley-20260711-lp-1400-e0400-dataset3-e02.000.png
high-moorsley-20260711-lp-1400-e0400,high-moorsley,20260711,lp,1400,dataset4,3.0,153000,26,0.00016993464052287582,3.5,26,0.00016993464052287582,2528,0.016522875816993465,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset4-e03.npz,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset4-e03.json,plots/high-moorsley-20260711-lp-1400-e0400-dataset4-e03.000.png
high-moorsley-20260711-lp-1400-e0400,high-moorsley,20260711,lp,1400,dataset5,3.95,153000,60,0.000392156862745098,3.6000022888183594,60,0.000392156862745098,2454,0.01603921568627451,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset5-e03.npz,artifacts/high-moorsley-20260711-lp-1400-e0400-dataset5-e03.json,plots/high-moorsley-20260711-lp-1400-e0400-dataset5-e03.950.png
high-moorsley-20260711-sp-1500-e0100,high-moorsley,20260711,sp,1500,dataset1,1.0,68040,29,0.0004262198706643151,11.10000228881836,29,0.0004262198706643151,30987,0.4554232804232804,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset1-e01.npz,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset1-e01.json,plots/high-moorsley-20260711-sp-1500-e0100-dataset1-e01.000.png
high-moorsley-20260711-sp-1500-e0100,high-moorsley,20260711,sp,1500,dataset2,2.0,68040,256,0.0037624926513815404,11.299999237060547,256,0.0037624926513815404,31326,0.4604056437389771,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset2-e02.npz,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset2-e02.json,plots/high-moorsley-20260711-sp-1500-e0100-dataset2-e02.000.png
high-moorsley-20260711-sp-1500-e0100,high-moorsley,20260711,sp,1500,dataset3,4.0,68040,288,0.004232804232804233,12.10000228881836,288,0.004232804232804233,30595,0.4496619635508524,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset3-e04.npz,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset3-e04.json,plots/high-moorsley-20260711-sp-1500-e0100-dataset3-e04.000.png
high-moorsley-20260711-sp-1500-e0100,high-moorsley,20260711,sp,1500,dataset4,6.0,68040,191,0.002807172251616696,2.6000022888183594,191,0.002807172251616696,32467,0.47717519106407996,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset4-e06.npz,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset4-e06.json,plots/high-moorsley-20260711-sp-1500-e0100-dataset4-e06.000.png
high-moorsley-20260711-sp-1500-e0100,high-moorsley,20260711,sp,1500,dataset5,9.0,68040,33711,0.49545855379188714,12.400001525878906,33711,0.49545855379188714,504,0.007407407407407408,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset5-e09.npz,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset5-e09.json,plots/high-moorsley-20260711-sp-1500-e0100-dataset5-e09.000.png
high-moorsley-20260711-sp-1500-e0100,high-moorsley,20260711,sp,1500,dataset6,89.9,57600,0,0.0,,0,0.0,0,0.0,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset6-e89.npz,artifacts/high-moorsley-20260711-sp-1500-e0100-dataset6-e89.json,plots/high-moorsley-20260711-sp-1500-e0100-dataset6-e89.900.png
