radar,date,time,pulse,dataset,elevation_deg,finite_gate_count,receiver_noise_count,receiver_noise_fraction,receiver_noise_max_dbz,receiver_noise_ge_10_dbz,receiver_noise_ge_20_dbz,ci_finite_count,ci_low_count,ci_high_count,near_zero_vrad_count,low_sqi_count,receiver_noise_figure_h_db,receiver_noise_figure_v_db,ambient_noise_h_median,ambient_noise_v_median,source_url
castor-bay,20260115,0000,lp,dataset1,0.5,153000,20503,0.13400653594771242,-7.899999618530273,0,0,153000,15162,123413,39817,41578,5.28,6.35,23.079999923706055,22.260000228881836,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/lp/20260115_polar_pl_radar07_aggregate_lp_0000.h5
castor-bay,20260115,0000,lp,dataset2,0.95,153000,18737,0.1224640522875817,-7.600000381469727,0,0,153000,11522,123855,36711,39575,5.34,6.33,22.899999618530273,22.100000381469727,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/lp/20260115_polar_pl_radar07_aggregate_lp_0000.h5
castor-bay,20260115,0000,lp,dataset3,1.95,153000,5272,0.03445751633986928,-7.299999237060547,0,0,153000,5697,85925,29383,21093,4.85,6.1,22.790000915527344,22.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/lp/20260115_polar_pl_radar07_aggregate_lp_0000.h5
castor-bay,20260115,0000,lp,dataset4,2.95,153000,5422,0.03543790849673203,-6.69999885559082,0,0,153000,5445,87378,27613,21497,4.84,6.0,22.739999771118164,21.959999084472656,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/lp/20260115_polar_pl_radar07_aggregate_lp_0000.h5
castor-bay,20260115,0000,lp,dataset5,3.95,153000,5294,0.034601307189542484,-6.600000381469727,0,0,153000,5055,87277,27727,21473,4.82,6.1,22.719999313354492,21.9350004196167,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/lp/20260115_polar_pl_radar07_aggregate_lp_0000.h5
castor-bay,20260115,0000,sp,dataset1,0.95,68040,14551,0.21385949441504998,13.900001525878906,6855,0,68040,5083,53459,13322,38838,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/sp/20260115_polar_pl_radar07_aggregate_sp_0000.h5
castor-bay,20260115,0000,sp,dataset2,1.95,68040,17184,0.2525573192239859,13.799999237060547,7102,0,68040,1607,60643,7370,44057,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/sp/20260115_polar_pl_radar07_aggregate_sp_0000.h5
castor-bay,20260115,0000,sp,dataset3,3.95,68040,17054,0.2506466784244562,13.799999237060547,6832,0,68040,1385,61644,6169,45110,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/sp/20260115_polar_pl_radar07_aggregate_sp_0000.h5
castor-bay,20260115,0000,sp,dataset4,6.0,68040,17686,0.2599353321575544,13.799999237060547,6966,0,68040,1326,61854,5874,46716,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/sp/20260115_polar_pl_radar07_aggregate_sp_0000.h5
castor-bay,20260115,0000,sp,dataset5,8.95,68040,17958,0.26393298059964726,13.700000762939453,6815,0,68040,1092,62189,5542,48273,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/01/15/sp/20260115_polar_pl_radar07_aggregate_sp_0000.h5
